id,description,effort
1,Prenez en main votre formation de Data Analyst,14
2,Faites une analyse de ventes pour un e-commerce,40
3,Requêtez une base de données avec SQL,30
4,Réalisez une étude de santé publique avec R ou Python,80
5,Créez et utilisez une base de données immobilière avec SQL,60
6,Optimisez la gestion des données d'une boutique avec R ou Python,70
7,Créez un tableau de bord dynamique avec Power BI pour visualiser l'avancement de projets,60
8,Analysez l'évolution de profils sociodémographiques avec DBT,60
9,Analysez les ventes d'une librairie avec R ou Python,90
10,Faites une étude sur l'eau potable,70
11,Produisez une étude de marché avec R ou Python,90
12,Détectez des faux billets avec R ou Python,70
13,Créez votre portfolio de professionnel de la data,70
14,Réalisez votre mission en entreprise,NA
